v8-version,4,6,85,31,0
code-creation,Handler,3,0xe02c642cec0,112,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c642cf40,232,"BinaryOpICStub"
code-creation,KeyedLoadIC,7,0xe02c642d040,393,"A keyed load IC from the snapshot"
code-creation,Stub,2,0xe02c642d1e0,796,"RecordWriteStub"
code-creation,Stub,11,0xe02c642d500,486,"BinaryOpICStub"
code-creation,Stub,2,0xe02c642d700,834,"FastNewContextStub"
code-creation,Handler,3,0xe02c642da60,272,"An IC handler from the snapshot"
code-creation,Stub,2,0xe02c642db80,590,"ArraySingleArgumentConstructorStub"
code-creation,Stub,2,0xe02c642dde0,234,"CallFunctionStub"
code-creation,Stub,11,0xe02c642dee0,296,"BinaryOpICStub"
code-creation,Handler,3,0xe02c642e020,112,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c642e0a0,332,"BinaryOpICStub"
code-creation,Stub,12,0xe02c642e200,173,"CompareICStub"
code-creation,Handler,3,0xe02c642e2c0,120,"An IC handler from the snapshot"
code-creation,Stub,2,0xe02c642e340,946,"StoreFastElementStub"
code-creation,Stub,2,0xe02c642e700,962,"StoreFastElementStub"
code-creation,Handler,3,0xe02c642eae0,120,"An IC handler from the snapshot"
code-creation,CallIC,8,0xe02c642eb60,628,"A call IC from the snapshot"
code-creation,Handler,3,0xe02c642ede0,112,"An IC handler from the snapshot"
code-creation,Handler,3,0xe02c642ee60,120,"An IC handler from the snapshot"
code-creation,Stub,2,0xe02c642eee0,502,"ArrayNArgumentsConstructorStub"
code-creation,Handler,3,0xe02c642f0e0,112,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c642f160,332,"BinaryOpICStub"
code-creation,Handler,3,0xe02c642f2c0,120,"An IC handler from the snapshot"
code-creation,Stub,14,0xe02c642f340,212,"ToBooleanStub"
code-creation,Stub,11,0xe02c642f420,152,"BinaryOpICStub"
code-creation,CallIC,8,0xe02c642f4c0,113,"A call IC from the snapshot"
code-creation,Stub,11,0xe02c642f540,152,"BinaryOpICStub"
code-creation,Stub,2,0xe02c642f5e0,566,"ArraySingleArgumentConstructorStub"
code-creation,Stub,11,0xe02c642f820,212,"BinaryOpICStub"
code-creation,Stub,2,0xe02c642f900,603,"ArrayConstructorStub"
code-creation,Handler,3,0xe02c642fb60,120,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c642fbe0,462,"BinaryOpICStub"
code-creation,Stub,2,0xe02c642fdc0,438,"FastNewContextStub"
code-creation,Stub,2,0xe02c642ff80,766,"FastNewClosureStub"
code-creation,Stub,2,0xe02c6430280,336,"StoreFastElementStub"
code-creation,Handler,3,0xe02c64303e0,272,"An IC handler from the snapshot"
